"","location","continent","all_deaths","all_cases","death_rate"
"1","Algeria","Africa",3411,126651,2.69
"2","Angola","Africa",715,32149,2.22
"3","Benin","Africa",101,8025,1.26
"4","Botswana","Africa",784,51620,1.52
"5","Burkina Faso","Africa",165,13414,1.23
"6","Burundi","Africa",6,4494,0.13
"7","Cameroon","Africa",1239,77733,1.59
"8","Cape Verde","Africa",256,29198,0.88
"9","Central African Republic","Africa",96,7010,1.37
"10","Chad","Africa",173,4923,3.51
"11","Comoros","Africa",146,3870,3.77
"12","Congo","Africa",150,11476,1.31
"13","Cote d'Ivoire","Africa",298,46942,0.63
"14","Democratic Republic of Congo","Africa",779,30863,2.52
"15","Djibouti","Africa",152,11491,1.32
"16","Egypt","Africa",14670,252690,5.81
"17","Equatorial Guinea","Africa",113,8436,1.34
"18","Eritrea","Africa",14,3932,0.36
"19","Eswatini","Africa",672,18550,3.62
"20","Ethiopia","Africa",4068,268901,1.51
"21","Gabon","Africa",147,24107,0.61
"22","Gambia","Africa",175,5968,2.93
"23","Ghana","Africa",783,93583,0.84
"24","Guinea","Africa",158,22988,0.69
"25","Guinea-Bissau","Africa",68,3749,1.81
"26","Kenya","Africa",3049,168108,1.81
"27","Lesotho","Africa",326,10815,3.01
"28","Liberia","Africa",85,2142,3.97
"29","Libya","Africa",3105,182899,1.7
"30","Madagascar","Africa",793,40780,1.94
"31","Malawi","Africa",1153,34274,3.36
"32","Mali","Africa",513,14240,3.6
"33","Mauritania","Africa",458,19114,2.4
"34","Mauritius","Africa",17,1293,1.31
"35","Morocco","Africa",9119,516812,1.76
"36","Mozambique","Africa",831,70568,1.18
"37","Namibia","Africa",763,52712,1.45
"38","Niger","Africa",192,5369,3.58
"39","Nigeria","Africa",2067,165979,1.25
"40","Rwanda","Africa",349,26658,1.31
"41","Saint Helena","Africa",0,0,0
"42","Sao Tome and Principe","Africa",36,2338,1.54
"43","Senegal","Africa",1130,41062,2.75
"44","Seychelles","Africa",35,9764,0.36
"45","Sierra Leone","Africa",79,4121,1.92
"46","Somalia","Africa",767,14623,5.25
"47","South Africa","Africa",55772,1632571,3.42
"48","South Sudan","Africa",115,10652,1.08
"49","Sudan","Africa",2568,34889,7.36
"50","Tanzania","Africa",21,509,4.13
"51","Togo","Africa",125,13363,0.94
"52","Tunisia","Africa",12182,334099,3.65
"53","Uganda","Africa",350,43507,0.8
"54","Zambia","Africa",1267,93106,1.36
"55","Zimbabwe","Africa",1586,38679,4.1
