"","location","continent","all_deaths","all_cases","death_rate"
"1","Albania","Europe",2442,132176,1.85
"2","Andorra","Europe",127,13569,0.94
"3","Austria","Europe",10541,640876,1.64
"4","Belarus","Europe",2761,384773,0.72
"5","Belgium","Europe",24823,1047128,2.37
"6","Bosnia and Herzegovina","Europe",9108,203150,4.48
"7","Bulgaria","Europe",17487,416565,4.2
"8","Croatia","Europe",7883,353735,2.23
"9","Cyprus","Europe",353,71836,0.49
"10","Czechia","Europe",30012,1657558,1.81
"11","Denmark","Europe",2508,273366,0.92
"12","Estonia","Europe",1240,128489,0.97
"13","Faeroe Islands","Europe",0,0,0
"14","Finland","Europe",933,91405,1.02
"15","France","Europe",108345,5979597,1.81
"16","Germany","Europe",87385,3653019,2.39
"17","Gibraltar","Europe",0,0,0
"18","Greece","Europe",11734,388929,3.02
"19","Guernsey","Europe",0,0,0
"20","Hungary","Europe",29475,801672,3.68
"21","Iceland","Europe",29,6555,0.44
"22","Ireland","Europe",4941,254870,1.94
"23","Isle of Man","Europe",0,0,0
"24","Italy","Europe",125153,4188190,2.99
"25","Jersey","Europe",0,0,0
"26","Kosovo","Europe",2244,106770,2.1
"27","Latvia","Europe",2323,130712,1.78
"28","Liechtenstein","Europe",58,2998,1.93
"29","Lithuania","Europe",4173,270376,1.54
"30","Luxembourg","Europe",810,69545,1.16
"31","Malta","Europe",417,30499,1.37
"32","Moldova","Europe",6072,254601,2.38
"33","Monaco","Europe",32,2501,1.28
"34","Montenegro","Europe",1572,99203,1.58
"35","Netherlands","Europe",17810,1649960,1.08
"36","North Macedonia","Europe",5296,155028,3.42
"37","Norway","Europe",781,121963,0.64
"38","Poland","Europe",72882,2864546,2.54
"39","Portugal","Europe",17017,844811,2.01
"40","Romania","Europe",29885,1075236,2.78
"41","Russia","Europe",116144,4935302,2.35
"42","San Marino","Europe",90,5087,1.77
"43","Serbia","Europe",6766,709673,0.95
"44","Slovakia","Europe",12286,388719,3.16
"45","Slovenia","Europe",4349,251531,1.73
"46","Spain","Europe",79620,3636453,2.19
"47","Sweden","Europe",14366,1058341,1.36
"48","Switzerland","Europe",10775,687353,1.57
"49","Ukraine","Europe",51260,2237240,2.29
"50","United Kingdom","Europe",127978,4476297,2.86
"51","Vatican","Europe",0,27,0
