"","location","continent","all_deaths","all_cases","death_rate"
"1","Anguilla","North America",0,0,0
"2","Antigua and Barbuda","North America",42,1257,3.34
"3","Aruba","North America",0,0,0
"4","Bahamas","North America",222,11396,1.95
"5","Barbados","North America",47,3991,1.18
"6","Belize","North America",323,12764,2.53
"7","Bermuda","North America",0,0,0
"8","Bonaire Sint Eustatius and Saba","North America",0,0,0
"9","Canada","North America",25180,1363519,1.85
"10","Cayman Islands","North America",0,0,0
"11","Costa Rica","North America",3765,299219,1.26
"12","Cuba","North America",863,131832,0.65
"13","Curacao","North America",0,0,0
"14","Dominica","North America",0,184,0
"15","Dominican Republic","North America",3606,282685,1.28
"16","El Salvador","North America",2211,72220,3.06
"17","Greenland","North America",0,0,0
"18","Grenada","North America",1,161,0.62
"19","Guatemala","North America",7996,247106,3.24
"20","Haiti","North America",276,13624,2.03
"21","Honduras","North America",6143,232141,2.65
"22","Jamaica","North America",912,47899,1.9
"23","Mexico","North America",221597,2395330,9.25
"24","Montserrat","North America",0,0,0
"25","Nicaragua","North America",185,7193,2.57
"26","Panama","North America",6328,373774,1.69
"27","Saint Kitts and Nevis","North America",0,46,0
"28","Saint Lucia","North America",77,4935,1.56
"29","Saint Vincent and the Grenadines","North America",12,1973,0.61
"30","Sint Maarten (Dutch part)","North America",0,0,0
"31","Trinidad and Tobago","North America",365,19444,1.88
"32","Turks and Caicos Islands","North America",0,0,0
"33","United States","North America",589703,33104800,1.78
