,continent,location,life_expectancy,death_rate,,,,,Positive,Neutral,Negative
1,Asia,Afghanistan,Medium,Neutral,,,,Medium,17,19,1
2,Europe,Albania,Very high,Neutral,,,,High,32,29,5
3,Africa,Algeria,Very high,Neutral,,,,Very high,37,47,3
4,Europe,Andorra,Very high,Positive,,,,,,,
5,Africa,Angola,Medium,Neutral,,,,,,,
6,North America,Antigua and Barbuda,Very high,Neutral,,,,,,,
7,South America,Argentina,Very high,Neutral,,,,,,,
8,Asia,Armenia,Very high,Neutral,,,,,,,
9,Oceania,Australia,Very high,Neutral,,,,,,,
10,Europe,Austria,Very high,Neutral,,,,,,,
11,Asia,Azerbaijan,High,Positive,,,,,,,
12,North America,Bahamas,High,Neutral,,,,,,,
13,Asia,Bahrain,Very high,Positive,,,,,,,
14,Asia,Bangladesh,High,Neutral,,,,,,,
15,North America,Barbados,Very high,Positive,,,,,,,
16,Europe,Belarus,High,Positive,,,,,,,
17,Europe,Belgium,Very high,Neutral,,,,,,,
18,North America,Belize,High,Neutral,,,,,,,
19,Africa,Benin,Medium,Positive,,,,,,,
20,Asia,Bhutan,High,Positive,,,,,,,
21,South America,Bolivia,High,Neutral,,,,,,,
22,Europe,Bosnia and Herzegovina,Very high,Neutral,,,,,,,
23,Africa,Botswana,High,Neutral,,,,,,,
24,South America,Brazil,Very high,Neutral,,,,,,,
25,Asia,Brunei,Very high,Positive,,,,,,,
26,Europe,Bulgaria,Very high,Neutral,,,,,,,
27,Africa,Burkina Faso,Medium,Positive,,,,,,,
28,Africa,Burundi,Medium,Positive,,,,,,,
29,Asia,Cambodia,High,Positive,,,,,,,
30,Africa,Cameroon,Medium,Neutral,,,,,,,
31,North America,Canada,Very high,Neutral,,,,,,,
32,Africa,Cape Verde,High,Positive,,,,,,,
33,Africa,Central African Republic,Medium,Positive,,,,,,,
34,Africa,Chad,Medium,Neutral,,,,,,,
35,South America,Chile,Very high,Neutral,,,,,,,
36,Asia,China,Very high,Negative,,,,,,,
37,South America,Colombia,Very high,Neutral,,,,,,,
38,Africa,Comoros,Medium,Neutral,,,,,,,
39,Africa,Congo,Medium,Positive,,,,,,,
40,North America,Costa Rica,Very high,Positive,,,,,,,
41,Africa,Cote d'Ivoire,Medium,Positive,,,,,,,
42,Europe,Croatia,Very high,Neutral,,,,,,,
43,North America,Cuba,Very high,Positive,,,,,,,
44,Europe,Cyprus,Very high,Positive,,,,,,,
45,Europe,Czechia,Very high,Neutral,,,,,,,
46,Africa,Democratic Republic of Congo,Medium,Neutral,,,,,,,
47,Europe,Denmark,Very high,Positive,,,,,,,
48,Africa,Djibouti,High,Positive,,,,,,,
49,North America,Dominica,High,Positive,,,,,,,
50,North America,Dominican Republic,High,Positive,,,,,,,
51,South America,Ecuador,Very high,Negative,,,,,,,
52,Africa,Egypt,High,Negative,,,,,,,
53,North America,El Salvador,High,Neutral,,,,,,,
54,Africa,Equatorial Guinea,Medium,Positive,,,,,,,
55,Africa,Eritrea,High,Positive,,,,,,,
56,Europe,Estonia,Very high,Positive,,,,,,,
57,Africa,Eswatini,Medium,Neutral,,,,,,,
58,Africa,Ethiopia,High,Neutral,,,,,,,
59,Oceania,Fiji,High,Neutral,,,,,,,
60,Europe,Finland,Very high,Positive,,,,,,,
61,Europe,France,Very high,Neutral,,,,,,,
62,Africa,Gabon,High,Positive,,,,,,,
63,Africa,Gambia,Medium,Neutral,,,,,,,
64,Asia,Georgia,High,Positive,,,,,,,
65,Europe,Germany,Very high,Neutral,,,,,,,
66,Africa,Ghana,Medium,Positive,,,,,,,
67,Europe,Greece,Very high,Neutral,,,,,,,
68,North America,Grenada,High,Positive,,,,,,,
69,North America,Guatemala,High,Neutral,,,,,,,
70,Africa,Guinea,Medium,Positive,,,,,,,
71,Africa,Guinea-Bissau,Medium,Neutral,,,,,,,
72,South America,Guyana,High,Neutral,,,,,,,
73,North America,Haiti,Medium,Neutral,,,,,,,
74,North America,Honduras,Very high,Neutral,,,,,,,
75,Asia,Hong Kong,Very high,Neutral,,,,,,,
76,Europe,Hungary,Very high,Neutral,,,,,,,
77,Europe,Iceland,Very high,Positive,,,,,,,
78,Asia,India,High,Positive,,,,,,,
79,Asia,Indonesia,High,Neutral,,,,,,,
80,Asia,Iran,Very high,Neutral,,,,,,,
81,Asia,Iraq,High,Positive,,,,,,,
82,Europe,Ireland,Very high,Neutral,,,,,,,
83,Asia,Israel,Very high,Positive,,,,,,,
84,Europe,Italy,Very high,Neutral,,,,,,,
85,North America,Jamaica,High,Neutral,,,,,,,
86,Asia,Japan,Very high,Neutral,,,,,,,
87,Asia,Jordan,High,Positive,,,,,,,
88,Asia,Kazakhstan,High,Positive,,,,,,,
89,Africa,Kenya,High,Neutral,,,,,,,
90,Asia,Kuwait,Very high,Positive,,,,,,,
91,Asia,Kyrgyzstan,High,Neutral,,,,,,,
92,Asia,Laos,High,Positive,,,,,,,
93,Europe,Latvia,Very high,Neutral,,,,,,,
94,Asia,Lebanon,Very high,Positive,,,,,,,
95,Africa,Lesotho,Medium,Neutral,,,,,,,
96,Africa,Liberia,Medium,Neutral,,,,,,,
97,Africa,Libya,High,Neutral,,,,,,,
98,Europe,Liechtenstein,Very high,Neutral,,,,,,,
99,Europe,Lithuania,Very high,Neutral,,,,,,,
100,Europe,Luxembourg,Very high,Positive,,,,,,,
101,Africa,Madagascar,High,Neutral,,,,,,,
102,Africa,Malawi,Medium,Neutral,,,,,,,
103,Asia,Malaysia,Very high,Positive,,,,,,,
104,Asia,Maldives,Very high,Positive,,,,,,,
105,Africa,Mali,Medium,Neutral,,,,,,,
106,Europe,Malta,Very high,Positive,,,,,,,
107,Oceania,Marshall Islands,High,Positive,,,,,,,
108,Africa,Mauritania,Medium,Neutral,,,,,,,
109,Africa,Mauritius,High,Positive,,,,,,,
110,North America,Mexico,Very high,Negative,,,,,,,
